Galaxy,Other_ID,RA_hr,DEC_deg,Type,D_Mpc,D_Mpc+-,Method,A_V,M_V^T,M_V^T+-,M_K,M_K+-,N(GC),N(GC)+-,Source,sig_e_km/s,sig_e_km/s+-,R_e_kpc,R_e_kpc+-,lg_M_d_M_sun,lg_M_d_M_sun+-,lg_M_G_M_sun,lg_M_G_M_sun+-,lg_M_B_M_sun,lg_M_B_M_sun+,lg_M_B_M_sun-
MilkyWay,nid,nd,nd,Sbc,nd,nd,geometry,0,-21.3,0.3,nd,nd,160,10,44,105,20,0.7,0.1,9.856,0.116,7.66,0.03,6.61,0.04,0.04
WLM,DDO-221,0.0328381,-15.4609285,Irr,1,0.1,TRGB/Cepheid,0.088,-14.84,0.2,nd,nd,1,0,50,nd,nd,nd,nd,nd,nd,5.14,0,nd,nd,nd
NGC7814,nid,0.0541441,16.1455476,Sab,13.18,0.88,SBF,0.147,-20.18,0.28,-23.531,0.103,150,40,39/85,169.2,7.2,2.84,0.19,10.879,0.037,7.57,0.1,nd,nd,nd
NGC55,nid,0.2482245,-39.1965824,SBm,2.09,0.08,TRGB/Cepheid,0.036,-18.77,0.2,-20.356,0.111,36,15,75,nd,nd,2.31,0.09,nd,nd,6.87,0.15,nd,nd,nd
NGC147,nid,0.55333,48.5086,E5,0.76,0.1,TRGB/SBF,0.475,-15.46,0.3,-17.254,0.118,10,2,91/97a,22,5,0.57,0.08,8.408,0.13,6.16,0.11,nd,nd,nd
NGC185,nid,0.6493737,48.3373957,E3,0.63,0.01,TRGB/SBF,0.5,-15.4,0.2,-17.489,0.112,8,1,30/97a,19.9,2.4,0.35,0.04,8.105,0.069,6.07,0.05,nd,nd,nd
NGC205,M110,0.6728045,41.6853789,E5,0.8,0.04,TRGB,0.17,-16.66,0.2,-18.947,0.11,11,3,30,31.2,4.7,0.66,0.03,8.775,0.086,6.26,0.1,0,4.58,0
NGC221,M32,0.7116069,40.8651653,E2,0.76,0.07,SBF/TRGB,0.17,-16.54,0.21,-19.327,0.101,0,1,97,75,3,0.13,0.01,8.843,0.039,6.26,0.1,6.46,0.08,0.1
NGC224,M31,0.7123157,41.2688834,Sb,0.77,0.02,TRGB/Cepheid,0.17,-21.8,0.2,-23.467,0.101,450,100,76,160,8,4.66,0.12,11.046,0.032,8.14,0.09,8.18,0.2,0.1
NGC247,nid,0.7857145,-20.7604499,SABc,3.72,0.2,TRGB/Cepheid,0.05,-18.8,0.2,-20.428,0.118,60,30,75,nd,nd,3.64,0.2,nd,nd,7.09,0.18,nd,nd,nd
NGC253,nid,0.7925311,-25.2884419,SABc,3.54,0.2,TRGB,0.051,-21.01,0.2,-23.979,0.101,90,40,Aug-75,102.6,18.8,3.8,0.2,10.571,0.102,7.39,0.16,7,0.3,0.3
SMC,NGC292,0.87722,-72.800201,Irr,0.06,0,Cepheids/RRL,0.101,-16.82,0.2,nd,nd,1,1,37,nd,nd,nd,nd,nd,nd,5.22,0.3,nd,nd,nd
NGC300,nid,0.9148683,-37.6844766,Scd,1.98,0.04,TRGB/Cepheid,0.035,-18.4,0.2,-20.108,0.116,70,30,75,nd,nd,2.43,0.05,nd,nd,7.14,0.15,nd,nd,nd
UGC-685,nid,1.1228987,16.6840215,Im,4.7,0.5,TRGB,0.156,-14.35,0.2,nd,nd,5,2,37,nd,nd,0.55,0.05,nd,nd,5.83,0.15,nd,nd,nd
NGC406,nid,1.1235073,-69.8774177,SBc,20.6,1.4,Hubble,0.065,-19.14,0.25,-21.394,0.106,85,24,22,nd,nd,2.44,0.17,nd,nd,7.26,0.11,nd,nd,nd
NGC474,nid,1.3351857,3.4153385,S0,29.51,1.53,SBF,0.094,-20.97,0.2,-23.805,0.107,609,94,61/92,163.4,5.4,4.82,0.25,11.078,0.029,8.22,0.06,nd,nd,nd
NGC524,nid,1.41325,9.5387778,S0-a,23.13,1.2,SBF,0.226,-21.85,0.2,-24.682,0.101,3300,1000,45/61,253.5,7.8,5.58,0.29,11.524,0.028,9.01,0.11,nd,nd,nd
NGC541,nid,1.4289779,-1.3794906,S0,73.1,5.1,Hubble,0.149,-22.39,0.22,-25.041,0.105,1620,450,53,219.8,4,12.78,0.89,11.759,0.031,8.73,0.11,0,8.93,0
NGC584,nid,1.5224182,-6.8680509,E4,20.14,1.94,SBF,0.14,-21.18,0.34,-24.231,0.103,500,200,60,205.9,4.2,2.44,0.23,10.983,0.041,8.15,0.15,nd,nd,nd
NGC598,M33,1.5641414,30.6599252,Scd,0.82,0.04,TRGB/Cepheid,0.139,-19,0.2,-20.482,0.109,50,20,15-64,37.2,16.3,3.22,0.16,9.618,0.21,7.03,0.15,0,3.48,0
PGC-6240,nid,1.6919139,-65.6159851,S0,113,18.1,Hubble,0.056,-21.4,0.2,-24.654,0.106,210,20,66,249.1,46.5,nd,nd,nd,nd,7.78,0.04,nd,nd,nd
UGC-1281,nid,1.8256556,32.5862222,Sdm,5.13,0.5,TRGB,0.128,-15.3,0.2,-15.553,0.146,2,2,37,nd,nd,nd,nd,nd,nd,5.46,0.3,nd,nd,nd
NGC708,A262-BCG,1.8795946,36.1519464,E,47.07,2.86,SBF,0.241,-22.13,0.2,-24.816,0.103,4700,1000,Jul-74,229.8,9.7,17.6,1.07,11.937,0.036,9.18,0.08,nd,nd,nd
NGC720,nid,1.8834808,-13.7385764,E,27.67,2.25,SBF,0.054,-22.08,0.23,-24.945,0.103,660,190,57,241.1,6.7,4.84,0.39,11.418,0.037,8.32,0.11,nd,nd,nd
NGC784,nid,2.0213931,28.8372361,SBdm,5.45,0.5,TRGB,0.162,-16.87,0.2,-18.413,0.123,6,2,37,nd,nd,nd,nd,nd,nd,6,0.12,nd,nd,nd
