No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,NGC 7814,00h03m14.9103s,+16d08m43.110s,0.8121263,16.1453085,0.003506,1051.072357748,S1L,G,"IR,Radio,UV,Vis,Xray",311,9,131,43,30,14,20,35,21,9
2,NGC 0055,00h14m53.6028s,-39d11m47.655s,3.723345,-39.196571,0.000436968964709579,131.0,UUN,G,"IR,Radio,Xray",592,12,89,46,30,18,31,54,62,2
3,NGC 0147,00h33m12.1200s,+48d30m31.500s,8.3005,48.50875,-0.000644000014,-193.066347149094,SUN,G,IR,488,11,38,37,18,7,39,35,17,2
4,NGC 0185,00h38m57.8836s,+48d20m14.661s,9.741182,48.337406,-0.00067400001,-202.060119689925,SUN,G,IR,600,13,71,47,24,7,39,38,20,11
5,NGC 0247,00h47m08.4722s,-20d45m36.702s,11.785301,-20.760195,0.000580401525644785,174.0,SUN,G,"IR,Radio",514,13,101,54,22,19,40,61,83,2
6,NGC 0300,00h54m53.4484s,-37d41m03.163s,13.722702,-37.684212,0.00049100634813168,147.2,SUN,G,"IR,Radio,Xray",956,14,105,64,29,18,74,94,60,3
7,UGC 00685,01h07m22.4400s,+16d41m04.447s,16.84350012929,16.68456880889,0.00052,155.89207816,S1L,G,"Radio,UV",152,4,70,34,19,4,8,19,18,6
8,NGC 0406,01h07m25.0104s,-69d52m44.914s,16.85421,-69.879143,0.00503,1507.95606374,UUN,G,"IR,Radio",103,5,51,20,19,17,15,23,9,3
9,NGC 0524,01h24m47.7452s,+09d32m20.040s,21.1989384,9.5389001,0.008016,2403.136343328,UUN,G,"IR,Radio,Xray",518,11,115,41,33,8,19,32,16,4
10,NGC 0584,01h31m20.7357s,-06d52m04.618s,22.8363989,-6.8679497,0.00610622432669737,1830.6,SST,G,"IR,Xray",427,9,223,55,44,6,19,35,62,8
11,UGC 01281,01h49m31.6135s,+32d35m19.525s,27.38172291667,32.58875694444,0.00052,155.89207816,SUN,G,"IR,Radio,UV",165,8,41,28,15,6,11,23,12,4
12,NGC 0708,01h52m46.4467s,+36d09m06.581s,28.1935282,36.1518283,0.0158856564697168,4762.4,SLS,G,"IR,Radio,UV,Xray",293,10,123,51,43,9,19,18,5,0
13,NGC 0720,01h53m00.5229s,-13d44m19.251s,28.252179,-13.738681,0.00582099985,1745.09185304913,SUN,G,"IR,UV,Xray",470,9,80,39,38,6,23,21,26,1
14,NGC 0784,02h01m16.9067s,+28d50m12.274s,30.320444712,28.836743022,0.00066,197.86302228,SUN,G,"IR,Radio",208,4,97,46,23,7,17,28,35,9
15,NGC 0821,02h08m21.1504s,+10d59m41.893s,32.0881268,10.9949703,0.00578700006,1734.89897243355,SUN,G,IR,506,10,100,36,32,7,15,21,8,5
16,NGC 0891,02h22m32.9064s,+42d20m53.952s,35.63711,42.34832,0.001761,527.934518538,SUN,G,"IR,Radio,Xray",976,26,131,76,35,8,30,51,83,16
17,NGC 0910,02h25m26.7868s,+41d49m27.393s,36.361612,41.824276,0.0170624705975759,5115.20000000001,SLS,G,IR,87,3,33,19,17,7,4,8,2,0
18,NGC 1023,02h40m24.0078s,+39d03m47.888s,40.1000328,39.0633023,0.002121,635.859803418,SUN,G,"IR,Radio,UV,Xray",566,15,170,51,33,11,26,46,34,8
19,ESO 356- G 004,02h39m59.2999s,-34d26m57.001s,39.997083,-34.449167,0.000184460944644578,55.3,UUN,G,,931,6,19,29,15,12,78,41,3,0
20,NGC 1052,02h41m04.7985s,-08d15m20.752s,40.2699937491667,-8.25576443111111,0.00520359988509117,1560.0,SLS,G,"Gamma,IR,Radio,UV,Xray",1097,25,335,119,128,10,21,41,157,7
21,NGC 1055,02h41m45.2292s,+00d26m35.988s,40.438455,0.44333,0.003322,995.910545476,S1L,G,"IR,Radio,Vis",336,10,105,43,31,8,24,42,25,6
22,NGC 1132,02h52m51.8271s,-01d16m29.139s,43.2159465,-1.274761,0.0231330004,6935.09905083098,UUN,G,"IR,Radio,Xray",143,4,78,40,30,9,2,9,7,1
23,UGC 02413,02h56m28.7675s,+15d54m57.844s,44.1198646,15.9160678,0.034594,10371.020292052,SUN,G,"IR,UV",45,2,44,14,10,5,3,5,2,1
24,ESO 154- G 023,02h56m50.2000s,-54d34m14.300s,44.20916666667,-54.57063888889,0.00191465790643739,573.999999999999,UUN,G,"IR,Radio",119,6,52,32,16,17,11,17,29,2
25,NGC 1172,03h01m36.0704s,-14d50m11.443s,45.4002937,-14.836512,0.005107,1531.040083006,SUN,G,"IR,UV",172,2,60,26,12,6,19,21,4,0
26,NGC 1201,03h04m07.9884s,-26d04m10.815s,46.0332852,-26.069671,0.00562399998,1686.03277779615,UUN,G,"IR,UV",209,4,79,24,23,19,10,20,5,1
27,NGC 1311,03h20m06.9403s,-52d11m08.066s,50.028918,-52.185574,0.001911,572.903387238,UUN,G,"IR,Radio",130,4,74,41,21,18,11,18,33,3
28,ESO 301- G 008,03h22m22.6742s,-37d23m51.034s,50.59447588649,-37.3975097031,0.004693,1406.926005394,SLS,G,"UV,Xray",46,1,16,20,9,13,4,5,2,1
29,ESO 357- G 025,03h23m37.2500s,-35d46m42.596s,50.9052085,-35.7784991,0.006081,1823.037937098,SUN,G,"IR,UV",57,1,57,25,14,17,5,10,9,1
30,IC 1919,03h26m02.2248s,-32d53m40.452s,51.50927,-32.89457,0.004413,1322.984117154,SUN,G,"IR,UV",93,3,46,21,16,18,9,13,4,1
31,NGC 1332,03h26m17.2267s,-21d20m06.599s,51.5717781,-21.3351665,0.0054,1618.8792732,SUN,G,"IR,Radio,Xray",360,7,113,36,27,22,10,28,18,3
32,NGC 1336,03h26m32.1971s,-35d42m48.621s,51.6341547,-35.713506,0.00473000016,1418.01837430679,SUN,G,"IR,Radio",142,2,49,28,25,20,8,13,4,1
33,ESO 358- G 006,03h27m18.0391s,-34d31m35.383s,51.8251631,-34.5264953,0.004266,1278.914625828,SUN,G,"IR,UV",106,3,51,26,17,19,6,9,4,1
34,NGC 1339,03h28m06.5548s,-32d17m09.664s,52.0273118,-32.2860178,0.0046430002,1391.93644245249,SUN,G,"IR,UV",188,3,78,28,20,20,26,27,7,1
35,NGC 1345,03h29m31.6652s,-17d46m42.144s,52.3819385,-17.7783735,0.005101,1529.241328258,S1L,G,"IR,Radio",100,8,87,29,17,20,1,16,8,4
36,IC 1959,03h33m12.5318s,-50d24m50.311s,53.3022161,-50.4139755,0.002131,638.857727998,UUN,G,"IR,Radio",115,3,77,37,22,18,17,20,31,2
37,NGC 1375,03h35m16.8073s,-35d15m56.282s,53.8200304,-35.2656339,0.00259179301968964,777.0,UUN,G,"IR,UV",179,5,84,32,24,20,12,20,7,1
38,NGC 1374,03h35m16.5983s,-35d13m34.555s,53.8191597,-35.2262654,0.00450311528517505,1350.0,UUN,G,"IR,UV",297,6,98,36,30,20,37,41,7,1
39,ESO 358- G 025,03h35m33.0469s,-32d27m53.845s,53.8876954,-32.4649571,0.004633,1388.938457914,SUN,G,"IR,UV",102,3,63,26,16,19,7,14,6,1
40,NGC 1379,03h36m03.9724s,-35d26m28.264s,54.016552,-35.4411845,0.0045664924632627,1369.0,UUN,G,"IR,UV",262,7,94,30,28,20,36,37,10,2
41,NGC 1381,03h36m31.6580s,-35d17m42.514s,54.1319087,-35.295143,0.00581402217930379,1743.0,UUN,G,"IR,UV,Xray",256,8,117,36,29,23,14,35,10,1
42,NGC 1387,03h36m57.0338s,-35d30m23.515s,54.2376412,-35.506532,0.00434500590405113,1302.6,UUN,G,"IR,Radio,UV,Xray",269,7,122,41,29,20,15,25,15,1
43,NGC 1389,03h37m11.7000s,-35d44m42.000s,54.29875,-35.745,0.00325558556913396,975.999999999999,UUN,G,"IR,Xray",219,7,90,37,28,20,18,23,11,1
44,ESO 358- G 042,03h38m09.1529s,-34d31m07.262s,54.5381373,-34.5186841,0.003797,1138.311963026,SUN,G,"IR,UV",73,2,55,32,15,17,5,8,7,0
45,ESO 358- G 043,03h38m13.7147s,-33d07m37.557s,54.5571449,-33.1270992,0.004566,1368.852363228,SUN,G,IR,63,2,47,23,15,17,5,9,4,1
46,NGC 1399,03h38m29.0200s,-35d27m00.700s,54.6209166666667,-35.4501944444444,0.0047530001,1424.91358285325,SUN,G,"IR,Radio,Vis,Xray",976,25,133,63,59,18,91,66,33,0
47,NGC 1404,03h38m51.9312s,-35d35m38.796s,54.71638,-35.59411,0.00644779396018028,1933.0,UUN,G,"IR,Radio,UV,Vis,Xray",642,12,184,55,61,24,54,44,56,7
48,NGC 1400,03h39m30.8368s,-18d41m17.450s,54.8784869,-18.6881807,0.0019680281616691,590.000000000001,UUN,G,"IR,Radio,Xray",291,10,100,36,30,21,28,34,21,1
49,NGC 1407,03h40m11.8414s,-18d34m48.157s,55.0493392,-18.5800438,0.005934,1778.968445772,SUN,G,"IR,Radio,Vis,Xray",514,12,113,47,48,18,28,34,17,0
50,NGC 1419,03h40m42.1063s,-37d30m38.696s,55.1754431,-37.5107491,0.00526697706317882,1579.0,UUN,G,"IR,UV",146,2,54,28,23,19,15,18,5,1
51,ESO 358- G 050,03h41m03.5964s,-33d46m44.941s,55.2649851,-33.7791504,0.00442973118423146,1328.0,UUN,G,"IR,UV",98,1,46,28,22,18,6,11,5,1
52,NGC 1428,03h42m22.8405s,-35d09m13.882s,55.5951691,-35.1538562,0.00552715705743338,1657.0,UUN,G,"IR,UV",116,4,60,30,19,18,6,18,8,0
53,NGC 1426,03h42m49.0910s,-22d06m30.001s,55.7045461,-22.1083336,0.00481300009,1442.90112733532,SUN,G,"IR,UV",209,5,96,33,22,18,27,32,5,0
54,ESO 358- G 056,03h43m22.7000s,-33d56m20.000s,55.84458333333,-33.93888888889,0.003966,1188.976888428,SUN,G,IR,54,1,29,17,12,16,4,8,5,1
55,NGC 1439,03h44m49.9410s,-21d55m14.340s,56.2080878,-21.92065,0.005561,1667.145858938,SUN,G,"IR,Xray",204,6,91,35,22,18,19,25,4,0
56,ESO 358- G 059,03h45m03.5850s,-35d58m21.353s,56.2649377,-35.9725983,0.00347907351291673,1043.0,UUN,G,"IR,UV,Vis",130,3,56,32,23,19,6,11,4,1
57,NGC 1460,03h46m13.7255s,-36d41m47.126s,56.5571896,-36.6964241,0.00461319143659044,1383.0,UUN,G,IR,82,2,40,24,19,18,5,12,5,1
58,ESO 358- G 066,03h47m52.6461s,-36d28m18.836s,56.969359,-36.4718989,0.006191,1856.015107478,SUN,G,IR,54,2,37,18,13,17,5,8,4,0
59,ESO 359- G 002,03h50m36.7156s,-35d54m34.390s,57.652982,-35.9095529,0.00477,1430.01002466,SUN,G,"IR,UV,Vis",93,2,48,29,19,18,5,9,4,1
60,NGC 1483,03h52m47.6974s,-47d28m38.329s,58.1987393,-47.4773136,0.003833,1149.104491514,UUN,G,"IR,Radio",88,4,52,21,15,17,4,14,7,2
61,IC 2006,03h54m28.4535s,-35d58m01.548s,58.6185563,-35.9670969,0.00461000018,1382.04328534264,SUN,G,"IR,UV",191,6,63,25,19,19,21,27,9,1
62,UGCA 086,03h59m48.4676s,+67d08m18.435s,59.9519486,67.1384544,0.000223,66.853718134,SUN,G,"IR,Radio,Xray",101,5,24,13,4,2,8,18,3,3
63,IC 2035,04h09m01.8489s,-45d31m03.187s,62.2577038,-45.517552,0.00498299999,1493.86581521608,UUN,G,"IR,UV",99,4,59,21,10,16,5,10,8,0
64,NGC 1533,04h09m51.8262s,-56d07m06.429s,62.4659427,-56.1184525,0.002635,789.95312683,S1L,G,"IR,Radio",199,12,111,29,21,17,11,24,19,4
